ZCTA5CE10,ALAND10,AWATER10,area
50250,264919955,140131,264929641
50859,206284787,205939,206417553
50839,1828417,0,1828011
50853,195793685,194054,195937216
52151,311898185,12772784,324567396
52172,409930314,0,409755295
52581,98275489,4543215,102736549
52569,241557072,7613001,248970940
50025,507431421,0,507345549
50076,289965715,685667,290590914
52345,8460118,565,8455657
52229,127345836,46070,127304857
52209,95203996,198598,95339406
52352,203389043,1633575,204910198
52351,2136430,0,2135215
52324,103897411,3158631,106996164
50707,25015902,345979,25343792
50647,77451814,1613526,79005622
50220,266702750,1474029,268019719
50249,201480618,852305,202198657
52329,131743463,347339,132014062
50607,123088687,0,123022090
50510,219101382,630738,219699113
50585,164764837,527069,165283583
51002,297051473,96991,297174853
50576,93051632,0,93049651
50625,157866903,186690,157927218
51453,223309210,30437,223250598
51552,91256513,0,91253436
52720,105688120,4439340,110102709
52320,152972711,1012418,153951088
50444,55947822,19090,55923510
51029,58631884,0,58646970
51020,140559611,17407,140600387
52035,139017849,10395,138992251
52073,127405862,12217596,139621468
52037,176730726,44567,176801934
52732,287014236,23690397,310853892
52774,728977,0,729107
52070,128888564,25527115,154493370
51528,189303217,582632,189935211
51448,144010668,32777,144056930
50233,130640688,0,130568986
50262,83675780,154826,83773331
50067,86782161,311356,87035180
52040,157677619,71347,157713897
52065,131360801,21361,131355196
52650,104272813,223072,104474229
52645,184352854,1297182,185584278
52646,140333709,14671780,154989105
51347,219032601,4895849,223942742
52164,65222954,83451,65267270
50461,446116781,358141,446121128
50460,93166151,0,93093153
50006,317608669,136481,317499537
50452,127237832,186855,127325704
51654,134383987,3406124,137864240
51652,198939709,1115060,200136986
50026,142869501,0,142806159
50627,276457942,765563,277002567
50102,1304963,0,1303954
51563,142055146,214420,142319548
52155,274628716,266439,274697387
52132,157236915,142086,157282888
50519,142395653,0,142319020
50516,63843690,141166,63947358
50570,112172571,48177,112165472
51053,195409950,103317,195526658
51006,212288291,807256,213168831
52203,118264772,1489156,119683430
52356,232407800,0,232275181
52309,74161386,130453,74288098
50054,151303559,1568719,152751506
52557,116099,0,116028
50104,28940560,0,28919279
52550,100555822,141269,100623672
50597,213308415,932096,214143079
52625,285066161,178897,285119744
52233,9080084,0,9075461
52302,192103024,134722,192150218
52738,318125497,5065683,323079589
52761,458486848,24486760,482900833
50049,520849102,2275554,522715026
50139,229328321,180047,229330303
51243,139202043,36358,139316246
51230,64875507,0,64939414
50229,105357469,259175,105543196
50222,108352201,17240,108299591
52586,122407367,101027,122416358
50252,22129285,732118,22843478
50214,100079018,2492130,102489188
50632,109710138,541112,110164723
50239,43994087,59225,44018375
51571,121295400,74261,121415856
51541,106325127,410129,106758180
50472,315722433,694577,316164285
51572,114187002,203963,114449576
51026,280965339,270533,281456253
52726,93558953,1264181,94827149
52749,5218220,0,5217183
51248,214496950,0,214571503
50528,191696767,0,191617538
51108,116157980,297987,116579910
51038,233784005,44318,234065544
51008,630646,0,631249
50546,136972383,47291,136975388
50573,1045738,0,1045352
