STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
19,52658,1952658,B5,G6350,S,117815555,13425435,+40.6994039,-091.2296536,N
19,52068,1952068,B5,G6350,S,120418986,0,+42.4228659,-090.8171559,N
19,50514,1950514,B5,G6350,S,285570120,2196162,+43.4151555,-094.4724103,N
19,50435,1950435,B5,G6350,S,105304339,0,+43.1580395,-092.7670494,N
19,51653,1951653,B5,G6350,S,89310858,201674,+40.8781533,-095.6822996,N
19,50621,1950621,B5,G6350,S,165399151,0,+42.2511089,-092.9210164,N
19,50638,1950638,B5,G6350,S,245826479,0,+42.3567405,-092.7939546,N
19,50230,1950230,B5,G6350,S,223891614,90499,+42.3032518,-093.4534145,N
19,50436,1950436,B5,G6350,S,352540998,1493153,+43.2664629,-093.6711180,N
19,50438,1950438,B5,G6350,S,342477993,157787,+43.1115023,-093.6186238,N
19,50447,1950447,B5,G6350,S,260076390,1357536,+42.9254003,-093.7977075,N
19,50258,1950258,B5,G6350,S,139020377,455942,+42.2241360,-093.0731313,N
19,51579,1951579,B5,G6350,S,300427865,993021,+41.7535769,-095.7069988,N
19,51559,1951559,B5,G6350,S,220153489,569773,+41.4663298,-095.6488974,N
19,52659,1952659,B5,G6350,S,159797074,22385,+41.1292026,-091.4410222,N
19,52656,1952656,B5,G6350,S,246653156,621587,+40.7398143,-091.4554997,N
19,52134,1952134,B5,G6350,S,77559488,0,+43.4695544,-092.4112248,N
19,50529,1950529,B5,G6350,S,1404544,40868,+42.7208976,-094.1987946,N
19,50591,1950591,B5,G6350,S,73985552,0,+42.6760320,-094.0556745,N
19,50560,1950560,B5,G6350,S,225654488,0,+42.9604871,-094.1078250,N
19,51018,1951018,B5,G6350,S,94973523,144858,+42.4496609,-095.6807714,N
19,52361,1952361,B5,G6350,S,329675542,521656,+41.6491145,-092.0298796,N
19,52308,1952308,B5,G6350,S,233003,0,+41.5722837,-092.1587226,N
19,52222,1952222,B5,G6350,S,208915113,237236,+41.5764055,-092.3406501,N
19,50106,1950106,B5,G6350,S,170041734,99380,+41.8809557,-092.8062392,N
19,50228,1950228,B5,G6350,S,180307197,59991,+41.5769685,-093.2419601,N
19,50251,1950251,B5,G6350,S,104731303,85792,+41.5669397,-092.8693629,N
19,50232,1950232,B5,G6350,S,86216313,546135,+41.5567254,-092.9697197,N
19,52651,1952651,B5,G6350,S,156577973,91898,+40.8653208,-091.8152938,N
19,52322,1952322,B5,G6350,S,230659835,560173,+41.6927183,-091.7627850,N
19,52338,1952338,B5,G6350,S,87438599,1384771,+41.8178996,-091.7075010,N
19,52248,1952248,B5,G6350,S,294509645,727190,+41.3457725,-091.9353455,N
19,50255,1950255,B5,G6350,S,456756,0,+41.4558954,-092.3322726,N
19,50598,1950598,B5,G6350,S,176474137,0,+43.0818492,-094.4170458,N
19,52403,1952403,B5,G6350,S,67994207,1529536,+41.9659594,-091.5660542,N
19,52402,1952402,B5,G6350,S,35684277,736540,+42.0231720,-091.6596131,N
19,52341,1952341,B5,G6350,S,33953650,691790,+42.1028514,-091.7261746,N
19,52621,1952621,B5,G6350,S,109426658,156210,+41.2087501,-091.5334567,N
19,51235,1951235,B5,G6350,S,144971909,0,+43.2945389,-096.2183691,N
19,51240,1951240,B5,G6350,S,262865520,296089,+43.3093607,-096.4584188,N
19,51242,1951242,B5,G6350,S,1181066,0,+43.4411086,-096.3348486,N
19,50273,1950273,B5,G6350,S,518734984,436436,+41.3296914,-094.0543067,N
19,50149,1950149,B5,G6350,S,213331160,118531,+41.1504659,-094.0709973,N
19,50211,1950211,B5,G6350,S,145671677,1510501,+41.4553105,-093.7052692,N
19,52595,1952595,B5,G6350,S,1193986,0,+41.2886301,-092.6149729,N
19,50116,1950116,B5,G6350,S,44059135,12619,+41.1797717,-092.9736103,N
19,50057,1950057,B5,G6350,S,52157438,26100,+41.1799137,-093.1342563,N
19,50120,1950120,B5,G6350,S,43941350,0,+41.9337341,-092.9828567,N
19,51566,1951566,B5,G6350,S,456411140,1480407,+41.0164590,-095.2309007,N
19,52766,1952766,B5,G6350,S,117320623,2080925,+41.4675407,-091.2954183,N
19,51245,1951245,B5,G6350,S,203413241,0,+43.0747015,-095.5999479,N
19,51009,1951009,B5,G6350,S,611821,0,+42.9443573,-095.5515332,N
19,51354,1951354,B5,G6350,S,226461034,1201235,+43.4108365,-095.5412918,N
19,51637,1951637,B5,G6350,S,4185566,0,+40.6248601,-095.1156827,N
19,50571,1950571,B5,G6350,S,115641227,0,+42.6309635,-094.5786931,N
19,50009,1950009,B5,G6350,S,65155566,51547,+41.6450117,-093.4590896,N
19,50243,1950243,B5,G6350,S,1425493,0,+41.8724293,-093.6964418,N
19,51501,1951501,B5,G6350,S,62565346,6098001,+41.2272769,-095.8784389,N
19,51576,1951576,B5,G6350,S,129895387,558520,+41.3828764,-095.7149237,N
19,50845,1950845,B5,G6350,S,284295758,1294478,+40.8214907,-094.3496753,N
19,50840,1950840,B5,G6350,S,129507338,441432,+40.7819592,-094.4809478,N
19,50567,1950567,B5,G6350,S,67115601,210796,+42.5254491,-095.1018828,N
19,52807,1952807,B5,G6350,S,76469440,0,+41.6106804,-090.5168500,N
19,52728,1952728,B5,G6350,S,4016961,1747597,+41.4540624,-090.7346342,N
19,51537,1951537,B5,G6350,S,421573846,759083,+41.6501312,-095.2975109,N
19,50201,1950201,B5,G6350,S,300071934,381708,+42.0417225,-093.4349050,N
19,50056,1950056,B5,G6350,S,148881654,310723,+42.0131984,-093.2965274,N
19,50011,1950011,B5,G6350,S,125094,0,+42.0240341,-093.6364507,N
19,52217,1952217,B5,G6350,S,152367658,0,+42.0799873,-092.4078819,N
19,50173,1950173,B5,G6350,S,79810281,330423,+41.9646593,-092.7134845,N
19,50862,1950862,B5,G6350,S,56002793,215413,+40.8110944,-094.6575411,N
19,52542,1952542,B5,G6350,S,117023713,142493,+40.6198504,-092.0562370,Y
19,50166,1950166,B5,G6350,S,162193030,329398,+41.2827121,-093.4307487,N
19,50001,1950001,B5,G6350,S,62132136,664520,+41.3627242,-093.4334178,N
19,50160,1950160,B5,G6350,S,965184,0,+41.3737893,-093.7384893,N
19,52201,1952201,B5,G6350,S,171676653,137516,+41.3296599,-091.5470620,N
19,50008,1950008,B5,G6350,S,219823966,799607,+40.6796722,-093.3802650,N
19,51105,1951105,B5,G6350,S,15751253,74339,+42.5119126,-096.3520271,N
19,51104,1951104,B5,G6350,S,20007969,1561,+42.5361559,-096.4046801,N
19,50421,1950421,B5,G6350,S,232430189,481114,+42.8428665,-093.6186349,N
19,50002,1950002,B5,G6350,S,279019969,182250,+41.5147779,-094.6483414,N
19,50801,1950801,B5,G6350,S,541138684,3890004,+41.0785727,-094.4022187,N
19,50846,1950846,B5,G6350,S,238718135,149017,+41.3089930,-094.5761174,N
19,50864,1950864,B5,G6350,S,376870947,772047,+40.9703696,-094.9781106,N
19,52170,1952170,B5,G6350,S,120174634,0,+43.2238744,-091.3051905,N
19,52574,1952574,B5,G6350,S,101241590,8331356,+40.8066983,-092.9717873,N
19,51543,1951543,B5,G6350,S,57402651,0,+41.6567518,-095.0759309,N
19,52208,1952208,B5,G6350,S,150288094,441336,+41.8824022,-092.2531283,N
19,52332,1952332,B5,G6350,S,109615934,1076155,+42.0986128,-091.8882928,N
19,50701,1950701,B5,G6350,S,211307390,3411353,+42.4182590,-092.3398207,N
19,50276,1950276,B5,G6350,S,208197916,1649044,+41.8620124,-093.9264890,N
19,50107,1950107,B5,G6350,S,130323310,109876,+42.0365326,-094.2190692,N
19,50156,1950156,B5,G6350,S,232315736,6408279,+41.8983104,-093.8012355,N
19,50223,1950223,B5,G6350,S,76048297,552251,+42.1737154,-094.0378299,N
19,50630,1950630,B5,G6350,S,214483346,232646,+42.9576796,-092.2139593,N
19,50644,1950644,B5,G6350,S,369298026,3297175,+42.4761511,-091.8936908,N
19,52326,1952326,B5,G6350,S,5259973,187945,+42.3906615,-091.7558262,N
19,50671,1950671,B5,G6350,S,57516940,16334,+42.6504286,-091.7958192,N
19,50554,1950554,B5,G6350,S,230386693,2375376,+42.8459842,-094.8426902,N
19,50611,1950611,B5,G6350,S,78763743,0,+42.8154885,-092.9089538,N
19,50665,1950665,B5,G6350,S,253290828,0,+42.5803645,-092.7718794,N
19,50605,1950605,B5,G6350,S,38865937,0,+42.8317592,-093.0209772,N
19,51443,1951443,B5,G6350,S,275566438,876263,+42.0818836,-094.6968423,N
19,51544,1951544,B5,G6350,S,145030361,104671,+41.3064344,-095.1140738,N
19,52216,1952216,B5,G6350,S,146924409,25719,+41.8864895,-091.0396369,N
19,52306,1952306,B5,G6350,S,193533415,712142,+41.8870891,-091.2542113,N
19,50434,1950434,B5,G6350,S,23249292,238127,+43.2574879,-093.4485829,N
19,50468,1950468,B5,G6350,S,256180153,29336,+43.0322132,-092.9471241,N
19,50475,1950475,B5,G6350,S,231013382,89137,+42.8805532,-093.2187574,N
19,51012,1951012,B5,G6350,S,386682411,155693,+42.7441370,-095.5618494,N
19,51025,1951025,B5,G6350,S,278363472,39513,+42.4976463,-095.5561074,N
19,51048,1951048,B5,G6350,S,86240685,0,+42.5509520,-095.8413100,N
19,52154,1952154,B5,G6350,S,189897805,68679,+43.1186247,-092.1668767,N
19,50174,1950174,B5,G6350,S,278523046,195449,+41.0337071,-093.9823039,N
19,51333,1951333,B5,G6350,S,167531168,2834305,+43.1293464,-094.9995318,N
19,51343,1951343,B5,G6350,S,64797509,524496,+43.0185096,-095.1060251,N
19,51341,1951341,B5,G6350,S,893950,0,+43.0142770,-095.0387484,N
