,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
216,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
217,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
218,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
219,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
220,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
221,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
222,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
223,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
224,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
225,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
226,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
227,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
228,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
229,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
230,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
231,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
232,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
233,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
234,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
235,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
236,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
237,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
238,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
239,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
240,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
241,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
242,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
243,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
244,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
245,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
246,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
247,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
248,"Phoenix, AZ 85003 (Central City area)",Maricopa County,"Ensure data integrity, research quality and effective program communication. Provide technical support to school district personnel, MCESA staff, and ADE staff...",8f0291dd785ecd22,Research Data Management & Grant Development Analyst,"$44,616 - $82,618 a year",51.0,63,17 days,2016-10-18 00:02:37.484670,Phoenix
249,"Phoenix, AZ 85017 (Alhambra area)",Grand Canyon University,"Key topics include working with data, charting data, and building statistical models within a business environment....",c1c523cf3fe99464,Adjunct - Cohort - Traditional Campus - Colangelo College of...,,43.8,292,30+ days,2016-10-18 00:02:37.484670,Phoenix
250,"Scottsdale, AZ",Lab Support,Work with leading Scientists in a professional research department to help develop some of the best personal care products on the market!...,d0e3f69f8933da28,Quality Control Technician,,43.8,55,30+ days,2016-10-18 00:02:37.484670,Phoenix
