,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
128,"Chicago, IL",BAI Online,"Project planning and project management experience. Knowledge of relational database (STAR data schemes, ETL, SSIS and data normalization)....",86bcf45fc4117e3f,"Senior Developer/Data Analytics Analyst, Research,",,,,30+ days,2016-10-17 23:30:54.742722,Chicago
129,"Chicago, IL 60603 (Loop area)",Workbridge Associates,"The right candidate will have a strong background in predictive analytics, machine learning and building algorithms based on consumer data....",b5ef7bea275866fa,Lead Data Scientist,$90 an hour,41.4,25,30+ days,2016-10-17 23:30:54.742722,Chicago
130,"Chicago, IL",Civis Analytics,"ADS Managers manage, supervise and mentor a team of Data Scientists in the ADS practice to deliver custom analytic solutions to our clients....",51ae91de720f75b4,Applied Data Science Manager,,,,30+ days,2016-10-17 23:30:54.742722,Chicago
131,"Chicago, IL",General Assembly,"Our Data Science Immersive course is a brand-new, life-changing educational experience where students leave with the skills and mindsets to take on new careers...",3bc852a0b9cf89da,Lead Data Science Instructor,,52.800003,74,30+ days,2016-10-17 23:30:54.742722,Chicago
132,"Chicago, IL",Civis Analytics,"With a specialization in unstructured data, this Senior Data Scientist role will apply techniques from fields such as machine learning, applied statistics,...",395222238693e370,Senior Data Scientist - Unstructured Data,,,,27 days,2016-10-17 23:30:54.742722,Chicago
133,"Chicago, IL",S.C. International,"Seeking strong proficiency with SAS, SQL, and/or R. Extremely successful consulting practice has an immediate need for a Statistical Analyst....",45a96f628604e04f,Statistical Analyst -- Health-7444,"$80,000 a year",,,30+ days,2016-10-17 23:30:54.742722,Chicago
134,"Chicago, IL",Johnson Controls,"The team consists of prior consultants, retail operations experts, data scientists, developers, BI analysts and customer engagement managers....",a23832daf2d9338b,"Director, Advanced Analytics",,44.4,2177,30+ days,2016-10-17 23:30:54.742722,Chicago
135,"Chicago, IL",University of Chicago,A current resident of the Chicago area or willing to relocate to the Chicago area required. Ability to manage confidential information with discretion and tact...,ec1fa99a01867f3b,"Analyst, Prospect Research",,52.800003,226,23 days,2016-10-17 23:30:54.742722,Chicago
136,"Chicago, IL 60606 (Loop area)",Crowe Horwath,Special Skills Excellent communication skills Expert level programming skills in R Experience with a statistical package and various programming languages such...,18f63b3c75e06ece,Data Scientist/Statistics - Applied Technology - 12729,,42.6,78,30+ days,2016-10-17 23:30:54.742722,Chicago
137,"Chicago, IL 60601 (Loop area)",Allstate Insurance,"Candidates should draw from the fields of GIS, statistics, machine learning and/or predictive analytics. Manages data and data requests to improve the accuracy...",f474bbe40f2b1782,Geospatial Data Scientist,,44.4,2837,30+ days,2016-10-17 23:30:54.742722,Chicago
138,"Chicago, IL",McKinsey & Company,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,000 dedicated professionals (including more than 800 analysts and data scientists)...",cfb11e24fdc6deaa,Senior Manager Learning Portfolio,,52.800003,169,10 days,2016-10-17 23:30:54.742722,Chicago
