,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
82,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",3b34da8b88daf9b5,Sr. Director (Test & Calibration),,54.0,2,12 days,2016-10-18 00:03:53.428289,Miami
83,"Miami, FL","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",e290ace07112aeb1,Sr. Strategic Product Marketing Manager,,42.6,245,30+ days,2016-10-18 00:03:53.428289,Miami
84,"Fort Lauderdale, FL",Wantman Group,We are seeking a Mid-Level Environmental Scientist with 3 - 6 years of professional experience to be part of our Environmental Services division in our Fort...,5d8837fd0018ca56,Environmental Scientist - Ft. Lauderdale,,,,18 days,2016-10-18 00:03:53.428289,Miami
85,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",f58f285ae467d2c0,Sr. Mechanical Engineer,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
86,"Miami, FL 33155",Miami Children's Hospital,"The position is primarily a clinical position related to the diagnosis, treatment and clinical management of pediatric patients in a multidisciplinary...",e90913133d88d461,Physician/Attending - Allergy & Immunology - 9701,,51.6,96,30+ days,2016-10-18 00:03:53.428289,Miami
87,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",a70b42dea1969621,Sr. Optical Test & Metrology Engineer (Systems),,54.0,2,30 days,2016-10-18 00:03:53.428289,Miami
88,"Miami Beach, FL 33139",Knight Capital Funding,"Minimum of 3 years’ experience performing data analysis, data mining, and working with large amounts of data or financial modeling....",342d0f836d54c046,Business Analyst II,,,,20 days,2016-10-18 00:03:53.428289,Miami
89,"Miami, FL","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",54bea7c966ea4e68,Senior Development Scientist,,42.6,245,30+ days,2016-10-18 00:03:53.428289,Miami
90,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",12a725ae61687802,Lead Tools Engineer,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
91,"Plantation, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",166e33d62a2199ce,Sr. Supplier Quality Engineer/ Lead,,54.0,2,17 days,2016-10-18 00:03:53.428289,Miami
92,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",82c0e6a710eeaa18,Director of Software Quality Assurance,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
93,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",a5b6c41792b3d6e7,Principal/Lead Software Engineer (Realtime Communications),,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
94,"Fort Lauderdale, FL","Magic Leap, Inc.",Creates and applies scientific theories and laws and engineering methods used within scientific and engineering disciplines to develop or demonstrate new...,6c3010bd737f1e40,Sr. Test Engineer,,54.0,2,26 days,2016-10-18 00:03:53.428289,Miami
95,"Miami, FL 33155",Miami Children's Hospital,"The position is primarily a clinical position related to the diagnosis, treatment and clinical management of pediatric patients in a multidisciplinary...",e14c5e349b6174f8,Physician/Attending - Pediatric ENT - 9700,,51.6,96,30+ days,2016-10-18 00:03:53.428289,Miami
96,"Miami, FL","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",2745f3166a898694,Senior Specialist Customer Technical Support,,42.6,245,30+ days,2016-10-18 00:03:53.428289,Miami
97,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",2ec4e1e7f3fed689,Safety Operations Specialist,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
98,"Miami, FL","Beckman Coulter, Inc.",The Staff Clinical Studies Scientist develops the clinical strategy and the clinical evidence strategy plan needed for successful commercialization of the...,96a991811a2bfa7c,Staff Clinical Studies Scientist,,42.6,245,30+ days,2016-10-18 00:03:53.428289,Miami
99,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",222bdfc27553b651,Lead Opto-Mechanical Engineer,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
100,"Miami, FL",McKinsey & Company,"As one of the fastest-growing parts of our firm, New Ventures has more than 1,000 dedicated professionals (including more than 800 analysts and data scientists)...",01c34fd1b359137e,McKinsey Solutions - Pharmaceutical and Medical Products - E...,,52.800003,169,5 days,2016-10-18 00:03:53.428289,Miami
101,"Fort Lauderdale, FL","Handex Consulting & Remediation, LLC","The Project Scientist supports the work of the Project Teams by performing tasks including field sampling, data compilation, assisting with report preparation,...",0b2781746e01ecd1,Project Scientist - Environmental Services,,51.0,2,4 days,2016-10-18 00:03:53.428289,Miami
102,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",b777d6d10da066c0,"Director, Supply Continuity",,54.0,2,26 days,2016-10-18 00:03:53.428289,Miami
